,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
86,sortingNetworks,1202,715,329.7086868286133,315.46295166015625,16.012130737304688,16.000099182128906,0.9995042788126619,0.000495721187338094,440.58665466308594,450.09319333691406,0.9879879999999999,324.13495804195804,4.003549347156341,645.1716384887695,16.0,0.0,0.0
87,sortingNetworks,1328,715,329.7086868286133,315.46295166015625,16.012428283691406,16.000099182128906,0.9994365990410744,0.0005634009589255973,440.58695220947266,450.09289579052734,0.987042,329.04234965034965,4.423222573230965,645.1716384887695,16.0,0.0,0.0
93,transpose,607,715,8.0,1.0,4.0000762939453125,4.25926399230957,1.0,0.0,16.509340286254883,18.490659713745117,0.86856,300.9611643356643,2.0217591129150567,9.0,4.0,0.0,0.0
94,transpose,810,715,8.0,1.0,4.000074863433838,4.071455478668213,1.0,0.0,16.32153034210205,18.67846965789795,0.865524,308.8675174825175,2.69789931047973,9.0,4.0,0.0,0.0
90,transpose,1012,715,8.0,1.0,4.000117778778076,4.1689043045043945,0.9993495092513105,0.0006504907486895029,16.41902208328247,18.58097791671753,0.8687969999999999,316.73492307692305,3.370708768154922,9.0,4.0,0.0,0.0
91,transpose,1202,715,8.0,1.0,4.000085830688477,4.075011730194092,1.0,0.0,16.32509756088257,18.67490243911743,0.8825299999999999,324.13495804195804,4.003549347156341,9.0,4.0,0.0,0.0
92,transpose,1328,715,8.0,1.0,4.000069618225098,4.203864097595215,0.986710178312034,0.013289821687965997,16.453933715820312,18.546066284179688,0.8894489999999999,329.04234965034965,4.423222573230965,9.0,4.0,0.0,0.0
98,vectorAdd,607,715,0.0,0.0,8.000059604644775,4.282980918884277,1.0,0.0,12.283040523529053,8.716959476470947,0.829041,300.9611643356643,2.0217591129150567,0.0,8.0,1.0,0.0
99,vectorAdd,810,715,0.0,0.0,8.000088691711426,4.282252311706543,1.0,0.0,12.282341003417969,8.717658996582031,0.8521780000000001,308.8675174825175,2.69789931047973,0.0,8.0,1.0,0.0
95,vectorAdd,1012,715,0.0,0.0,8.000092029571533,4.200661659240723,1.0,0.0,12.200753688812256,8.799246311187744,0.871365,316.73492307692305,3.370708768154922,0.0,8.0,1.0,0.0
96,vectorAdd,1202,715,0.0,0.0,8.000064373016357,4.212776184082031,1.0,0.0,12.212840557098389,8.787159442901611,0.885727,324.13495804195804,4.003549347156341,0.0,8.0,1.0,0.0
97,vectorAdd,1328,715,0.0,0.0,8.000114917755127,4.29349946975708,1.0,0.0,12.293614387512207,8.706385612487793,0.892603,329.04234965034965,4.423222573230965,0.0,8.0,1.0,0.0
